estate-price,estate-title,estate-subtitle,estate-rooms,estate-surface
â‚¬ 148.000,Trilocale in vendita,"Bareggio, Via Campo Sportivo",3 locali,100 Mq
â‚¬ 140.000,Trilocale in vendita,"Bareggio, Via Madonna Assunta",3 locali,80 Mq
â‚¬ 135.000,Trilocale in vendita,"Bareggio, Via Sant'Anna",3 locali,100 Mq
â‚¬ 150.000,Trilocale in vendita,"Bareggio, Via Alessandro Manzoni",3 locali,110 Mq
â‚¬ 120.000,Bilocale in vendita,"Bareggio, Via Madonna Pellegrina",2 locali,80 Mq
â‚¬ 140.000,Trilocale in vendita,"Bareggio, Via Achille Grandi",3 locali,99 Mq
â‚¬ 140.000,Bilocale in vendita,"Basiano, Via G. Donizetti",2 locali,70 Mq
â‚¬ 91.000,Bilocale in vendita,"Basiano, Via S. Basilio",2 locali,78 Mq
â‚¬ 130.000,Trilocale in vendita,"Basiano, Via Giacomo Leopardi",3 locali,94 Mq
â‚¬ 130.000,Trilocale in vendita,"Basiano, Via dei Campi",3 locali,103 Mq
â‚¬ 125.000,Bilocale in vendita,"Basiano, Via Dante Alighieri",2 locali,68 Mq
â‚¬ 950.000,Villa a schiera in vendita,"Basiglio, Via Roma",6 locali,300 Mq
â‚¬ 470.000,Quadrilocale in vendita,"Basiglio, via Cristoforo colombo",4 locali,181 Mq
â‚¬ 800.000,Attico in vendita,"Basiglio, via  guglielmo marconi",6 locali,285 Mq
â‚¬ 395.000,Quadrilocale in vendita,"Basiglio, Via cristoforo colombo",4 locali,141 Mq
Informazioni in agenzia,Villa a schiera in vendita,"Basiglio, via vivaldi",10 locali,1000 Mq
â‚¬ 115.000,Casa indipendente in vendita,"Bellinzago Lombardo, Via Della Croce",2 locali,65 Mq
â‚¬ 13.000,Ter. residenziale in vendita,"Bellinzago Lombardo, Via Padana Superiore",,85 Mq
â‚¬ 50.000,Casa semindipendente in vendita,"Bellinzago Lombardo, via padana superiore",3 locali,85 Mq
â‚¬ 390.000,Porzione di bifamiliare in vendita,"Bellinzago Lombardo, Via bologna",4 locali,220 Mq
â‚¬ 150.000,Ter. residenziale in vendita,"Bernate Ticino, Via Silvio Pellico - Casate",,3000 Mq
â‚¬ 130.000,Casa semindipendente in vendita,"Bernate Ticino, Via Alzaia",4 locali,140 Mq
â‚¬ 80.000,Casa semindipendente in vendita,"Bernate Ticino, Via Isonzo",,100 Mq
â‚¬ 72.000,Bilocale in vendita,"Bernate Ticino, Via Camillo Benso Conte di Cavour",2 locali,78 Mq
â‚¬ 45.000,Casa di corte in vendita,"Bernate Ticino, Via 4 Novembre - Casate",1 locale,30 Mq
â‚¬ 125.000,Ter. residenziale in vendita,"Bernate Ticino, Via F. Petrarca - Casate",,2090 Mq
â‚¬ 280.000,Casa indipendente in vendita,"Binasco, Via Giuseppe Mazzini",4 locali,170 Mq
â‚¬ 185.000,Trilocale in vendita,"Binasco, Via Pierluigi da Palestrina",3 locali,85 Mq
â‚¬ 70.000,Multilocale in vendita,"Binasco, Via G. Matteotti",1 locale,50 Mq
â‚¬ 185.000,Quadrilocale in vendita,"Binasco, Via M. Buonarroti",4 locali,113 Mq
â‚¬ 120.000,Multilocale in vendita,"Binasco, Via G. Matteotti",4 locali,60 Mq
â‚¬ 99.000,Trilocale in vendita,"Binasco, Via Guglielmo Marconi",3 locali,85 Mq
â‚¬ 128.000,Trilocale in vendita,"Boffalora Sopra Ticino, Via Magenta",3 locali,95 Mq
â‚¬ 149.000,Bilocale in vendita,"Boffalora Sopra Ticino, Via Giulini",2 locali,100 Mq
â‚¬ 98.000,Casa di corte in vendita,"Boffalora Sopra Ticino, Via Dante",3 locali,118 Mq
â‚¬ 288.000,Trilocale in vendita,"Boffalora Sopra Ticino, Via Augusto Righi",3 locali,121 Mq
â‚¬ 275.000,Trilocale in vendita,"Boffalora Sopra Ticino, Via Augusto Righi",3 locali,116 Mq
â‚¬ 215.000,Trilocale in vendita,"Boffalora Sopra Ticino, Via Augusto Righi",3 locali,93 Mq
â‚¬ 98.000,Quadrilocale in vendita,"Boffalora Sopra Ticino, Via Fratelli Bandiera",4 locali,115 Mq
â‚¬ 235.000,Casa indipendente in vendita,"Boffalora Sopra Ticino, Via G. Garibaldi",7 locali,235 Mq
â‚¬ 260.000,Villa a schiera in vendita,"Boffalora Sopra Ticino, Via Ada Negri",5 locali,193 Mq
â‚¬ 400.000,Porzione di bifamiliare in vendita,"Boffalora Sopra Ticino, Via Silvio Pellico",5 locali,250 Mq
â‚¬ 349.000,Quadrilocale in vendita,"Boffalora Sopra Ticino, Via Augusto Righi",4 locali,150 Mq
â‚¬ 70.000,Casa di corte in vendita,"Boffalora Sopra Ticino, Via Garibaldi",2 locali,85 Mq
â‚¬ 79.000,Casa di corte in vendita,"Boffalora Sopra Ticino, Via Dante Alighieri",,200 Mq
â‚¬ 229.000,Casa indipendente in vendita,"Boffalora Sopra Ticino, Via Dante Alighieri",,1500 Mq
â‚¬ 430.000,Attico in vendita,"Boffalora Sopra Ticino, Via Palestro",4 locali,151 Mq
â‚¬ 69.000,Casa di corte in vendita,"Bollate, Via Milano - Ospiate",2 locali,31 Mq
â‚¬ 228.000,Casa semindipendente in vendita,"Bollate, Via Sandro Pertini",2 locali,104 Mq
â‚¬ 99.000,Bilocale in vendita,"Bollate, Via M. de Leva - Cassina Nuova",2 locali,57 Mq
Informazioni in agenzia,Villa singola in vendita,"Bollate, Via Madonnina",8 locali,361 Mq
â‚¬ 133.000,Bilocale in vendita,"Bollate, Via IV Novembre",2 locali,52 Mq
â‚¬ 97.000,Bilocale in vendita,"Bollate, Via Giuseppe Garibaldi",2 locali,47 Mq
â‚¬ 138.000,Bilocale in vendita,"Bollate, Via IV Novembre",2 locali,55 Mq
â‚¬ 99.000,Bilocale in vendita,"Bollate, Via Fratellanza",2 locali,41 Mq
â‚¬ 179.000,Quadrilocale in vendita,"Bollate, Via Monte Grappa - Cascina Del Sole",4 locali,107 Mq
â‚¬ 240.000,Trilocale in vendita,"Bollate, Via Pietro Nenni - Cascina Del Sole",3 locali,103 Mq
â‚¬ 448.000,Villa a schiera in vendita,"Bollate, Via coppi - Ospiate",5 locali,200 Mq
â‚¬ 540.000,Ter. residenziale in vendita,"Bollate, Via Luino - Ospiate",,2450 Mq
â‚¬ 650.000,Trifamiliare in vendita,"Bollate, Via S. Giacomo",7 locali,464 Mq
â‚¬ 662.000,Villa singola in vendita,"Bollate, Via P. Bembo",6 locali,258 Mq
â‚¬ 5.000,Posto auto in vendita,"Bollate, Via Ospitaletto - Cascina Del Sole",,13 Mq
â‚¬ 280.000,Trilocale in vendita,"Bresso, Via Don Luigi Sturzo",3 locali,108 Mq
â‚¬ 159.000,Trilocale in vendita,Bresso,3 locali,80 Mq
â‚¬ 79.000,Mansarda in vendita,"Bresso, Via G. Verdi",2 locali,55 Mq
â‚¬ 399.000,Quadrilocale in vendita,"Bresso, Via Contardo Ferrini",4 locali,175 Mq
â‚¬ 249.000,Trilocale in vendita,"Bresso, Via Papa Giovanni XXIII",3 locali,90 Mq
â‚¬ 159.000,Trilocale in vendita,"Bresso, Via verdi",3 locali,80 Mq
â‚¬ 170.000,Bilocale in vendita,"Bresso, Via Adda",2 locali,66 Mq
â‚¬ 275.000,Trilocale in vendita,"Bresso, Via Roma",3 locali,96 Mq
â‚¬ 259.000,Trilocale in vendita,"Bresso, Via Papa Giovanni XXIII",3 locali,88 Mq
â‚¬ 210.000,Bilocale in vendita,"Bresso, Via Adda",2 locali,86 Mq
â‚¬ 149.000,Bilocale in vendita,"Bresso, Via Archimede",2 locali,70 Mq
â‚¬ 425.000,Casa indipendente in vendita,"Bresso, Via Dante Alighieri",4 locali,137 Mq
â‚¬ 145.000,Bilocale in vendita,"Bresso, Via Leonardo Da Vinci",2 locali,68 Mq
â‚¬ 168.000,Trilocale in vendita,"Bresso, Via Eugenio Villoresi",3 locali,78 Mq
â‚¬ 359.000,5 locali in vendita,"Bresso, Via Papa Giovanni XXIII",5 locali,129 Mq
â‚¬ 110.000,Bilocale in vendita,"Bubbiano, Via Anna Maria Mozzoni",2 locali,55 Mq
â‚¬ 189.000,Trilocale in vendita,"Buccinasco, Via Marsala",3 locali,74 Mq
â‚¬ 210.000,Trilocale in vendita,"Buccinasco, Via dei Mille - Romano Banco",3 locali,80 Mq
â‚¬ 274.000,Trilocale in vendita,"Buccinasco, Via I Maggio - Romano Banco",3 locali,116 Mq
â‚¬ 359.000,Quadrilocale in vendita,"Buccinasco, Via A. Manzoni - Romano Banco",4 locali,121 Mq
â‚¬ 290.000,Trilocale in vendita,"Buccinasco, Via Privata Mulino - Robarello",3 locali,96 Mq
â‚¬ 235.000,Bilocale in vendita,"Buccinasco, Via NiccolÃ² Paganini - Musicisti",2 locali,76 Mq
â‚¬ 230.000,Trilocale in vendita,"Buccinasco, Viale Lombardia - Romano Banco",3 locali,85 Mq
â‚¬ 348.000,Trilocale in vendita,"Buccinasco, Via Emilia - Chiesetta",3 locali,105 Mq
â‚¬ 130.000,Bilocale in vendita,"Buccinasco, Via Marsala - Romano Banco",2 locali,60 Mq
â‚¬ 210.000,Bilocale in vendita,"Buccinasco, Via Guido Rossa",2 locali,60 Mq
â‚¬ 260.000,Bilocale in vendita,"Buccinasco, Via Picasso",2 locali,61 Mq
â‚¬ 150.000,Bilocale in vendita,"Buccinasco, Via Marsala - Romano Banco",2 locali,63 Mq
â‚¬ 210.000,Trilocale in vendita,"Bussero, Via J. F. Kennedy",3 locali,105 Mq
â‚¬ 143.000,Bilocale in vendita,"Bussero, Via A. Barzago",2 locali,51 Mq
â‚¬ 25.000,Rustico in vendita,"Bussero, Via Milano",,44 Mq
â‚¬ 102.000,Bilocale in vendita,"Bussero, Via S. Francesco",2 locali,60 Mq
â‚¬ 65.000,Rustico in vendita,"Bussero, Via al Naviglio",,55 Mq
â‚¬ 128.000,Bilocale in vendita,"Bussero, Cascina Galassa",2 locali,83 Mq
â‚¬ 119.000,Bilocale in vendita,"Bussero, Via Pablo Neruda",2 locali,60 Mq
â‚¬ 238.000,Trilocale in vendita,"Bussero, Via Achille Grandi",3 locali,80 Mq
â‚¬ 242.000,Quadrilocale in vendita,"Bussero, Piazza A. Greppi",4 locali,105 Mq
â‚¬ 359.000,Quadrilocale in vendita,"Bussero, Via Leonardo da Vinci",4 locali,125 Mq
â‚¬ 210.000,Trilocale in vendita,"Bussero, Via Via John Fitzgerald Kennedy",3 locali,105 Mq
â‚¬ 400.000,Casa indipendente in vendita,"Busto Garolfo, Via Col di Lana",10 locali,543 Mq
â‚¬ 175.000,Trilocale in vendita,"Busto Garolfo, Via Rovereto",3 locali,114 Mq
â‚¬ 125.000,Trilocale in vendita,"Busto Garolfo, Via A. Manzoni",3 locali,100 Mq
â‚¬ 129.000,Trilocale in vendita,"Busto Garolfo, Via NoÃ¨ Carlo",3 locali,95 Mq
â‚¬ 165.000,Trilocale in vendita,"Cambiago, Via della liberazione",3 locali,86 Mq
â‚¬ 350.000,Porzione di trifamiliare in vendita,"Cambiago, Via A.Da Giussano",4 locali,200 Mq
â‚¬ 235.000,Trilocale in vendita,"Cambiago, Via enzo ferrari",3 locali,93 Mq
â‚¬ 200.000,Trilocale in vendita,"Cambiago, Via montello",3 locali,107 Mq
â‚¬ 135.000,Bilocale in vendita,"Cambiago, Via Cavour",2 locali,90 Mq
â‚¬ 129.000,Casa di corte in vendita,"Cambiago, Via G. Garibaldi",2 locali,85 Mq
â‚¬ 58.000,Monolocale in vendita,"Cambiago, Via Madonna",1 locale,47 Mq
â‚¬ 226.660,Bilocale in vendita,"Cambiago, Via XXV Aprile",2 locali,89 Mq
â‚¬ 375.232,Quadrilocale in vendita,"Cambiago, Via XXV Aprile",4 locali,151 Mq
â‚¬ 290.048,Quadrilocale in vendita,"Cambiago, Via XXV Aprile",4 locali,128 Mq
â‚¬ 279.490,Trilocale in vendita,"Cambiago, Via XXV Aprile",3 locali,110 Mq
â‚¬ 290.656,Trilocale in vendita,"Cambiago, Via XXV Aprile",3 locali,117 Mq
â‚¬ 199.000,Trilocale in vendita,"Cambiago, Via della Orombella",3 locali,95 Mq
â‚¬ 99.000,Bilocale in vendita,"Cambiago, Via V. Veneto",2 locali,50 Mq
â‚¬ 495.000,Villa singola in vendita,Canegrate,5 locali,250 Mq
â‚¬ 125.000,Bilocale in vendita,Canegrate,2 locali,55 Mq
â‚¬ 140.000,Ter. residenziale in vendita,Canegrate,,1100 Mq
â‚¬ 105.000,Trilocale in vendita,Canegrate,3 locali,85 Mq
â‚¬ 269.000,Trilocale in vendita,"Carugate, Via  Mirabello",3 locali,100 Mq
â‚¬ 75.000,Bilocale in vendita,"Carugate, Via Cesare Battisti",2 locali,40 Mq
â‚¬ 405.000,Quadrilocale in vendita,"Carugate, Via Monte Grappa",4 locali,160 Mq
â‚¬ 206.000,Bilocale in vendita,"Carugate, Via Bertarini",2 locali,70 Mq
â‚¬ 220.000,Trilocale in vendita,"Carugate, Via Carso",3 locali,90 Mq
â‚¬ 420.000,Villa a schiera in vendita,"Carugate, Via  Mandelli",4 locali,165 Mq
â‚¬ 270.000,Trilocale in vendita,"Carugate, Via  Enrico Toti",3 locali,100 Mq
â‚¬ 145.000,Bilocale in vendita,"Carugate, via San giuseppe",2 locali,57 Mq
â‚¬ 199.000,Trilocale in vendita,"Carugate, Via De Gasperi",3 locali,110 Mq
â‚¬ 243.000,Trilocale in vendita,"Carugate, Via Mazzini",3 locali,115 Mq
â‚¬ 139.000,Trilocale in vendita,"Carugate, Via Clemente Alberti",3 locali,70 Mq
â‚¬ 139.000,Bilocale in vendita,"Carugate, Via  Clemente Alberti",2 locali,70 Mq
â‚¬ 249.000,Trilocale in vendita,"Carugate, Via Cesare Battisti",3 locali,120 Mq
â‚¬ 179.000,Trilocale in vendita,"Carugate, Via Don Minzoni",3 locali,95 Mq
â‚¬ 525.000,5 locali in vendita,"Carugate, Via  Enrico Toti",5 locali,200 Mq
â‚¬ 370.000,Villa singola in vendita,"Casarile, Via Carlo Alberto dalla chiesa",4 locali,207 Mq
â‚¬ 205.000,Quadrilocale in vendita,"Casarile, Via giuseppe garibaldi",4 locali,125 Mq
â‚¬ 170.000,Trilocale in vendita,"Casarile, Via Giovanni XXIII",3 locali,93 Mq
â‚¬ 75.000,Multilocale in vendita,"Casarile, Via cristoforo colombo",2 locali,55 Mq
â‚¬ 86.000,Trilocale in vendita,"Casarile, Via L. da Vinci",3 locali,65 Mq
â‚¬ 95.000,Trilocale in vendita,"Casarile, Via L. da Vinci",3 locali,65 Mq
â‚¬ 120.000,Bilocale in vendita,"Casarile, Via Generale C.A. dalla Chiesa",2 locali,65 Mq
â‚¬ 350.000,Villa singola in vendita,"Casarile, Via Fratelli Cervi",7 locali,220 Mq
â‚¬ 189.000,Quadrilocale in vendita,"Casarile, Via binasco",4 locali,140 Mq
â‚¬ 192.000,Multilocale in vendita,"Casorezzo, Via giovanni paolo II",2 locali,95 Mq
â‚¬ 140.000,Quadrilocale in vendita,"Casorezzo, Viale Bertani Marco",4 locali,154 Mq
â‚¬ 147.000,Ter. residenziale in vendita,"Casorezzo, Via Mantegna",,980 Mq
â‚¬ 155.000,Trilocale in vendita,"Casorezzo, Via Parabiago",3 locali,140 Mq
â‚¬ 130.000,Trilocale in vendita,"Casorezzo, Via pascoli",3 locali,130 Mq
â‚¬ 190.000,Casa semindipendente in vendita,"Casorezzo, Via Piave",3 locali,145 Mq
â‚¬ 290.000,Villa singola in vendita,"Casorezzo, Via G. Rossini",4 locali,205 Mq
â‚¬ 183.000,Multilocale in vendita,"Casorezzo, Via Giovanni Paolo II",2 locali,91 Mq
â‚¬ 180.000,Casa semindipendente in vendita,"Casorezzo, Via Piave",3 locali,137 Mq
â‚¬ 183.000,Multilocale in vendita,"Casorezzo, Via giovanni paolo II",2 locali,91 Mq
â‚¬ 340.000,Villa singola in vendita,"Casorezzo, Via Dante Alighieri",,233 Mq
â‚¬ 95.000,Trilocale in vendita,"Casorezzo, Via Luigi Settembrini",3 locali,110 Mq
â‚¬ 120.000,Bilocale in vendita,"Casorezzo, Vicolo zara",2 locali,70 Mq
â‚¬ 93.000,Bilocale in vendita,"Cassano D'Adda, Via Anastasio Zappatoni",2 locali,62 Mq
â‚¬ 106.000,Bilocale in vendita,"Cassano D'Adda, Via Vittorio Veneto",2 locali,54 Mq
â‚¬ 39.000,Rustico in vendita,"Cassano D'Adda, via Alzaia Naviglio Martesana",3 locali,88 Mq
â‚¬ 157.000,Trilocale in vendita,"Cassano D'Adda, Via Antonio Meucci",3 locali,94 Mq
â‚¬ 55.000,Monolocale in vendita,"Cassano D'Adda, Via Inzago - Groppello D'Adda",1 locale,40 Mq
â‚¬ 270.000,Casa indipendente in vendita,"Cassano D'Adda, Via Treviglio",7 locali,390 Mq
â‚¬ 790.000,Villa singola in vendita,"Cassano D'Adda, Via dei Fiamminghini",5 locali,348 Mq
â‚¬ 345.000,Quadrilocale in vendita,"Cassano D'Adda, Via Guglielmo Marconi",4 locali,133 Mq
â‚¬ 178.000,Trilocale in vendita,"Cassano D'Adda, Via Cristoforo Colombo",3 locali,131 Mq
â‚¬ 129.000,Trilocale in vendita,"Cassano D'Adda, Via Delle Cascate",3 locali,94 Mq
â‚¬ 49.000,Casa di corte in vendita,"Cassano D'Adda, Via Don Angelo Castellazzi - Cioffi",2 locali,77 Mq
â‚¬ 93.000,Bilocale in vendita,"Cassano D'Adda, Via Anastasio Zappatoni",2 locali,66 Mq
â‚¬ 146.000,Trilocale in vendita,"Cassano D'Adda, Via Anastasio Zappatoni",3 locali,89 Mq
â‚¬ 180.000,Trilocale in vendita,"Cassano D'Adda, Viale Europa",3 locali,112 Mq
â‚¬ 120.000,Trilocale in vendita,"Cassano D'Adda, Via Dante Alighieri",3 locali,90 Mq
â‚¬ 290.000,Quadrilocale in vendita,Cassina De' Pecchi,4 locali,140 Mq
â‚¬ 590.000,Casa indipendente in vendita,"Cassina De' Pecchi, Via roma",,457 Mq
â‚¬ 230.000,Bilocale in vendita,"Cassina De' Pecchi, Via venezia",2 locali,80 Mq
â‚¬ 120.000,Monolocale in vendita,Cassina De' Pecchi,1 locale,46 Mq
â‚¬ 195.000,Bilocale in vendita,Cassina De' Pecchi,2 locali,65 Mq
â‚¬ 379.000,Trilocale in vendita,Cassina De' Pecchi,3 locali,122 Mq
â‚¬ 169.000,Bilocale in vendita,Cassina De' Pecchi,2 locali,60 Mq
â‚¬ 160.000,5 locali in vendita,Cassina De' Pecchi,,220 Mq
â‚¬ 99.000,Bilocale in vendita,Cassina De' Pecchi,1 locale,48 Mq
â‚¬ 240.000,Trilocale in vendita,Cassina De' Pecchi,3 locali,110 Mq
â‚¬ 385.000,Trilocale in vendita,Cassina De' Pecchi,3 locali,160 Mq
â‚¬ 390.000,Trilocale in vendita,"Cassina De' Pecchi, Via trento",3 locali,135 Mq
â‚¬ 380.000,Quadrilocale in vendita,"Cassina De' Pecchi, Via venezia",4 locali,105 Mq
â‚¬ 165.000,Bilocale in vendita,Cassina De' Pecchi,2 locali,62 Mq
â‚¬ 275.000,Bilocale in vendita,Cassina De' Pecchi,2 locali,78 Mq
â‚¬ 158.000,Trilocale in vendita,"Cassinetta Di Lugagnano, Via Don Ravazzi G.",3 locali,102 Mq
â‚¬ 175.000,Quadrilocale in vendita,"Cassinetta Di Lugagnano, Via Roma",4 locali,173 Mq
â‚¬ 57.000,Bilocale in vendita,"Cassinetta Di Lugagnano, Via Roma",2 locali,56 Mq
â‚¬ 100.000,Ter. residenziale in vendita,"Cassinetta Di Lugagnano, Via Trivulzio",,760 Mq
â‚¬ 125.000,Trilocale in vendita,"Cassinetta Di Lugagnano, Via Roma",3 locali,78 Mq
â‚¬ 27.000,Casa di corte in vendita,"Cassinetta Di Lugagnano, Via Roma",1 locale,52 Mq
â‚¬ 43.000,Monolocale in vendita,"Castano Primo, Via Acerbi",1 locale,49 Mq
â‚¬ 398.000,Quadrilocale in vendita,"Cernusco Sul Naviglio, Via Pontida",4 locali,135 Mq
â‚¬ 325.000,Trilocale in vendita,"Cernusco Sul Naviglio, Via Fornace",3 locali,86 Mq
â‚¬ 152.000,Bilocale in vendita,"Cernusco Sul Naviglio, Piazza Risorgimento",2 locali,63 Mq
â‚¬ 308.000,Trilocale in vendita,"Cernusco Sul Naviglio, Via Carlo Porta",3 locali,107 Mq
â‚¬ 285.000,Trilocale in vendita,"Cernusco Sul Naviglio, Via Cristoforo Colombo",3 locali,99 Mq
â‚¬ 20.000,Box / posti auto in vendita,"Cernusco Sul Naviglio, Via Giuseppe Verdi",1 locale,14 Mq
â‚¬ 355.000,Quadrilocale in vendita,"Cernusco Sul Naviglio, Via Strada Padana Superiore",4 locali,237 Mq
â‚¬ 195.000,Multilocale in vendita,"Cernusco Sul Naviglio, Via Strada Padana Superiore",5 locali,124 Mq
â‚¬ 185.000,Bilocale in vendita,"Cernusco Sul Naviglio, Via Pietro da Cernusco",2 locali,62 Mq
